"","N_1","N_2","N_3","Y_1","Y_2","Y_3"
"Gene_1753",94,108,141,91,155,162
"Gene_1754",268,309,186,122,461,344
"Gene_1755",56,100,101,37,88,94
"Gene_1756",6,4,7,7,5,17
"Gene_1757",2,0,1,0,0,1
"Gene_1758",0,1,2,1,1,1
"Gene_1759",0,0,8,1,1,3
"Gene_1760",1240,1598,526,1034,600,984
"Gene_1761",456,395,320,463,577,379
"Gene_1762",930,851,630,973,1193,1123
"Gene_1763",174,203,254,191,213,233
"Gene_1764",697,751,776,636,962,1145
"Gene_1765",10,13,7,9,11,8
"Gene_1766",2543,2544,2155,1979,4352,4170
"Gene_1767",0,1,0,0,0,0
"Gene_1768",8,12,19,13,27,9
"Gene_1769",2,1,20,4,2,5
"Gene_1770",410,583,307,531,721,592
"Gene_1771",48,51,47,50,97,73
"Gene_1772",65,65,44,59,112,91
"Gene_1773",0,1,2,0,1,0
"Gene_1774",3,1,2,2,2,1
"Gene_1775",1,1,0,0,1,0
"Gene_1776",103,90,157,48,173,235
"Gene_1777",38,29,52,27,55,74
"Gene_1778",68,38,81,82,71,83
"Gene_1779",0,0,0,0,1,0
"Gene_1780",4,5,10,3,9,3
"Gene_1781",1,0,0,0,0,0
"Gene_1782",1,5,5,3,5,1
"Gene_1783",76,71,88,79,55,48
"Gene_1784",17,11,59,8,21,24
"Gene_1785",14,18,13,23,15,11
"Gene_1786",0,0,0,0,1,1
"Gene_1787",5,5,1,0,0,4
"Gene_1788",6,4,3,3,7,6
"Gene_1789",16,9,24,6,13,8
"Gene_1790",0,4,2,2,1,2
"Gene_1791",2,0,4,0,1,1
"Gene_1792",1,2,4,0,2,0
"Gene_1793",2,5,7,2,5,4
"Gene_1794",0,1,4,1,1,0
"Gene_1795",0,0,2,0,1,0
"Gene_1796",4,5,4,1,3,5
"Gene_1797",3,1,1,1,0,1
"Gene_1798",26,28,38,13,23,46
"Gene_1799",5,5,0,11,7,9
"Gene_1800",89,39,269,30,75,144
"Gene_1801",0,2,9,0,0,2
"Gene_1802",40,34,27,31,71,51
"Gene_1803",35,51,38,50,29,28
"Gene_1804",3,3,3,3,9,5
"Gene_1805",31,30,24,22,43,37
"Gene_1806",9,6,4,12,16,7
"Gene_1807",15,20,14,1,11,13
"Gene_1808",58,50,33,48,69,63
"Gene_1809",18,58,40,78,91,58
"Gene_1810",235,177,212,211,292,287
"Gene_1811",4,6,3,7,21,20
"Gene_1812",1,2,2,0,3,0
"Gene_1813",3,4,6,6,5,3
"Gene_1814",2,4,19,3,3,22
"Gene_1815",1451,1639,1489,1473,1834,1718
"Gene_1816",0,2,4,0,3,1
"Gene_1817",862,557,594,424,982,987
"Gene_1818",79,73,59,26,50,61
"Gene_1819",11,9,10,12,12,23
"Gene_1820",0,1,0,0,1,0
"Gene_1821",1,1,0,0,0,1
"Gene_1822",4,4,15,3,12,5
"Gene_1823",1,1,1,2,0,1
"Gene_1824",12,7,20,12,22,15
"Gene_1825",47,41,19,67,34,29
"Gene_1826",51,23,39,26,39,32
"Gene_1827",90,91,82,59,112,92
"Gene_1828",39,48,42,24,44,58
"Gene_1829",1,6,4,0,0,0
"Gene_1830",16,13,38,3,14,11
"Gene_1831",26,47,44,28,44,41
"Gene_1832",0,1,1,2,0,0
"Gene_1833",3437,3075,2605,3473,6029,3799
"Gene_1834",0,1,0,0,0,1
"Gene_1835",48,55,74,51,72,83
"Gene_1836",70,81,104,97,60,94
"Gene_1837",7,2,5,6,7,5
"Gene_1838",9,7,3,4,7,8
"Gene_1839",2,0,4,0,0,3
"Gene_1840",9,11,9,7,17,12
"Gene_1841",0,0,8,2,1,0
"Gene_1842",107,105,137,99,130,107
"Gene_1843",38,24,29,29,44,22
"Gene_1844",77,116,63,68,91,113
"Gene_1845",471,493,546,506,925,767
"Gene_1846",11,10,9,7,20,27
"Gene_1847",82,287,133,322,163,127
"Gene_1848",399,419,401,350,468,393
"Gene_1849",31,34,32,9,43,16
"Gene_1850",0,0,0,0,1,0
"Gene_1851",48,38,22,28,60,38
"Gene_1852",3,2,9,7,8,1
"Gene_1853",0,0,0,1,0,0
"Gene_1854",13,17,67,17,16,28
"Gene_1855",84,161,72,127,138,63
"Gene_1856",0,0,5,0,0,0
"Gene_1857",4,3,7,3,9,5
"Gene_1858",72,58,41,49,79,76
"Gene_1859",157,107,92,86,195,118
"Gene_1860",1,2,2,2,1,2
"Gene_1861",49,35,33,17,33,18
"Gene_1862",63,51,85,6,34,52
"Gene_1863",1,4,0,0,1,2
"Gene_1864",3,3,1,5,2,1
"Gene_1865",12,8,13,15,5,14
"Gene_1866",0,0,1,0,1,0
"Gene_1867",6,11,6,9,19,18
"Gene_1868",224,254,210,253,209,306
"Gene_1869",11,15,7,11,18,12
"Gene_1870",206,189,105,216,117,206
"Gene_1871",20,23,19,10,33,45
"Gene_1872",91,97,34,35,88,55
"Gene_1873",22,20,20,14,26,21
"Gene_1874",0,0,0,1,0,0
"Gene_1875",231,150,135,110,194,285
"Gene_1876",17,13,20,13,19,11
"Gene_1877",1,4,8,8,2,4
"Gene_1878",0,0,0,1,0,0
"Gene_1879",21,16,18,15,10,9
"Gene_1880",4,10,14,2,8,14
"Gene_1881",7,5,1,1,5,3
"Gene_1882",0,1,3,5,5,0
"Gene_1883",244,252,388,206,242,421
"Gene_1884",25,31,23,22,21,18
"Gene_1885",54,67,25,15,44,36
"Gene_1886",178,205,153,208,333,238
"Gene_1887",1,1,1,0,0,0
"Gene_1888",280,450,306,772,338,468
"Gene_1889",8,9,11,13,20,15
"Gene_1890",140,139,164,153,193,161
"Gene_1891",3,4,0,3,12,13
"Gene_1892",32,50,44,28,46,46
"Gene_1893",84,90,133,62,143,145
"Gene_1894",142,127,220,117,128,181
"Gene_1895",18,34,72,24,72,40
"Gene_1896",41,31,22,24,52,45
"Gene_1897",1,0,2,0,0,1
"Gene_1898",225,220,207,314,360,253
"Gene_1899",1,0,1,2,0,1
"Gene_1900",123,79,80,69,140,110
"Gene_1901",79,45,73,96,77,68
"Gene_1902",1,9,9,0,7,3
"Gene_1903",99,46,72,30,99,36
"Gene_1904",46,49,32,66,62,81
"Gene_1905",22,47,8,24,55,42
"Gene_1906",56,55,81,41,55,63
"Gene_1907",661,347,422,221,660,383
"Gene_1908",46,30,34,40,29,28
"Gene_1909",15,16,42,11,16,15
"Gene_1910",15,17,26,16,28,18
"Gene_1911",9,7,9,7,14,7
"Gene_1912",360,294,305,225,375,288
"Gene_1913",26,19,26,35,27,12
"Gene_1914",716,724,608,486,858,925
"Gene_1915",0,1,0,1,1,0
"Gene_1916",97,96,109,84,128,155
"Gene_1917",1,2,1,2,0,0
"Gene_1918",637,399,229,265,820,456
"Gene_1919",97,72,107,90,180,128
"Gene_1920",33,32,22,19,33,36
"Gene_1921",178,223,191,246,284,243
"Gene_1922",385,341,250,317,319,318
"Gene_1923",774,823,699,875,1066,681
"Gene_1924",429,318,342,374,548,480
"Gene_1925",235,237,235,166,346,294
"Gene_1926",60,473,903,999,146,897
"Gene_1927",12,17,21,15,17,36
"Gene_1928",163,182,123,120,202,167
"Gene_1929",180,169,126,114,190,143
"Gene_1930",0,1,0,0,0,0
"Gene_1931",57,53,61,80,55,86
"Gene_1932",286,359,355,442,268,287
"Gene_1933",343,346,325,215,358,258
"Gene_1934",3,9,4,1,6,3
"Gene_1935",244,140,158,125,248,206
"Gene_1936",289,214,259,186,375,321
"Gene_1937",9,18,19,18,13,11
"Gene_1938",86,74,108,111,137,91
"Gene_1939",1366,1896,1777,1826,1615,1742
"Gene_1940",33,25,12,13,29,26
"Gene_1941",365,539,616,406,449,558
"Gene_1942",131,138,191,548,142,94
"Gene_1943",1,29,1,3,8,2
"Gene_1944",15,14,6,9,21,16
"Gene_1945",13,16,15,21,37,9
"Gene_1946",11,42,15,16,28,21
"Gene_1947",362,258,331,285,425,583
"Gene_1948",399,408,506,464,542,456
"Gene_1949",423,315,248,265,518,557
"Gene_1950",2,0,0,0,0,4
"Gene_1951",27,27,21,28,43,50
"Gene_1952",42,17,42,41,42,28
"Gene_1953",16,21,72,25,27,22
"Gene_1954",43,57,61,82,60,53
"Gene_1955",149,85,140,91,180,181
"Gene_1956",24,18,21,9,32,22
"Gene_1957",86,84,64,67,97,79
"Gene_1958",282,336,297,322,323,252
"Gene_1959",27,30,49,11,71,25
"Gene_1960",127,101,92,108,178,156
"Gene_1961",18,48,47,48,39,54
"Gene_1962",847,422,416,466,1014,645
"Gene_1963",233,172,221,168,260,208
"Gene_1964",1151,858,476,658,1261,993
"Gene_1965",1,3,4,0,2,2
"Gene_1966",683,571,736,575,776,609
"Gene_1967",10,8,14,6,24,18
"Gene_1968",23,55,31,46,39,17
"Gene_1969",87,99,84,97,141,119
"Gene_1970",25,27,21,4,38,17
"Gene_1971",71,52,77,51,71,84
"Gene_1972",0,0,0,0,1,2
"Gene_1973",0,0,1,0,0,0
"Gene_1974",614,747,806,922,918,953
"Gene_1975",27,21,40,25,30,44
"Gene_1976",109,80,124,76,113,150
"Gene_1977",12,15,27,13,17,25
"Gene_1978",342,329,390,667,451,713
"Gene_1979",35,17,14,5,34,25
"Gene_1980",191,141,160,129,330,236
"Gene_1981",12,12,19,11,10,18
"Gene_1982",0,0,1,0,0,0
"Gene_1983",14,8,11,9,17,9
"Gene_1984",69,55,106,41,138,76
"Gene_1985",376,355,386,450,538,434
"Gene_1986",20,21,18,26,20,27
"Gene_1987",5,3,3,7,6,1
"Gene_1988",0,1,0,0,1,1
"Gene_1989",100,107,68,22,335,143
"Gene_1990",8,13,13,9,8,11
"Gene_1991",25,21,25,19,23,24
"Gene_1992",12,18,21,14,27,15
"Gene_1993",34,26,14,11,37,29
"Gene_1994",3,0,4,0,1,3
"Gene_1995",58,48,29,45,71,53
"Gene_1996",75,41,45,38,53,45
"Gene_1997",14,18,18,7,13,11
"Gene_1998",30,20,27,24,32,19
"Gene_1999",56,71,199,63,61,78
"Gene_2000",103,89,122,60,140,122
"Gene_2001",1,1,0,0,0,0
"Gene_2002",6,4,9,7,7,2
"Gene_2003",674,755,533,705,1005,1215
"Gene_2004",4,2,2,2,3,2
"Gene_2005",6,13,5,13,17,5
"Gene_2006",1,0,1,0,0,1
"Gene_2007",28,12,159,15,26,21
"Gene_2008",178,119,139,125,163,220
"Gene_2009",36,41,50,49,27,31
"Gene_2010",7,3,2,1,12,4
"Gene_2011",241,29,390,52,93,370
"Gene_2012",33,28,14,17,27,24
"Gene_2013",432,395,289,392,454,366
"Gene_2014",287,300,400,391,261,443
"Gene_2015",753,953,832,327,1022,496
"Gene_2016",1,3,13,7,4,0
"Gene_2017",0,2,1,2,1,2
"Gene_2018",50,67,45,24,130,189
"Gene_2019",154,135,286,172,253,139
"Gene_2020",2,10,3,8,4,1
"Gene_2021",12,15,4,16,14,10
"Gene_2022",86,82,91,77,135,125
"Gene_2023",35,32,15,34,27,32
"Gene_2024",46,33,23,24,53,39
"Gene_2025",35,39,69,53,66,53
"Gene_2026",197,224,185,422,186,465
"Gene_2027",699,601,413,482,562,490
"Gene_2028",63,55,58,52,78,63
"Gene_2029",92,94,92,79,148,81
"Gene_2030",241,191,307,205,768,417
"Gene_2031",145,78,88,57,186,144
"Gene_2032",55,50,62,67,57,91
"Gene_2033",40,43,40,26,44,27
"Gene_2034",17,23,15,33,15,25
"Gene_2035",27,22,92,44,37,56
"Gene_2036",419,763,162,388,973,849
"Gene_2037",378,1898,383,1590,1466,595
"Gene_2038",29,33,39,68,22,40
"Gene_2039",331,301,236,261,397,392
"Gene_2040",94,84,77,94,109,87
"Gene_2041",21235,24263,16172,18967,31880,33085
"Gene_2042",30,26,37,22,23,64
"Gene_2043",7,3,13,7,4,8
"Gene_2044",0,1,0,2,0,0
"Gene_2045",16,8,6,3,15,10
"Gene_2046",36,58,35,61,57,51
"Gene_2047",151,122,215,97,146,201
"Gene_2048",1390,1048,1002,521,1320,1034
"Gene_2049",235,652,328,25,117,141
"Gene_2050",8598,8770,10041,5043,12685,11753
"Gene_2051",54,53,54,63,98,106
"Gene_2052",97,76,76,40,77,50
"Gene_2053",1,8,10,2,2,5
"Gene_2054",1233,1122,1156,1251,1132,797
"Gene_2055",141,183,148,246,243,175
"Gene_2056",52,27,103,40,59,26
"Gene_2057",191,172,139,175,224,177
"Gene_2058",309,280,168,322,254,212
"Gene_2059",0,3,0,0,0,0
"Gene_2060",180,221,185,197,215,205
"Gene_2061",0,0,1,0,1,0
"Gene_2062",85,94,89,108,97,98
"Gene_2063",8,8,12,13,13,8
"Gene_2064",200,253,233,342,161,277
"Gene_2065",0,0,1,0,0,0
"Gene_2066",69,55,32,42,71,34
"Gene_2067",71,73,47,25,70,69
"Gene_2068",90,83,86,78,122,102
"Gene_2069",134,174,110,252,147,158
"Gene_2070",8,16,22,27,12,10
"Gene_2071",76,73,111,70,74,132
"Gene_2072",2,3,1,0,2,0
"Gene_2073",112,138,80,92,142,157
"Gene_2074",54,68,73,52,76,67
"Gene_2075",40,27,44,41,43,67
"Gene_2076",1,1,4,0,1,1
"Gene_2077",2,1,1,1,1,3
"Gene_2078",2,0,2,2,0,4
"Gene_2079",0,0,1,1,0,0
"Gene_2080",79,56,35,72,74,88
"Gene_2081",115,113,91,50,134,120
"Gene_2082",88,167,168,190,160,135
"Gene_2083",27,27,48,6,45,23
"Gene_2084",165,160,221,134,252,255
"Gene_2085",109,118,134,100,126,175
"Gene_2086",298,373,575,409,440,433
"Gene_2087",163,241,168,162,209,259
"Gene_2088",51,46,13,47,74,35
"Gene_2089",218,470,291,225,119,262
"Gene_2090",62,59,58,57,68,63
"Gene_2091",18,17,51,7,4,20
"Gene_2092",5,11,4,7,7,1
"Gene_2093",65,79,80,38,97,96
"Gene_2094",3,1,19,4,9,10
"Gene_2095",167,184,333,156,314,241
"Gene_2096",1,2,6,2,2,1
"Gene_2097",3,13,22,5,1,10
"Gene_2098",80,76,57,98,93,73
"Gene_2099",29,41,102,32,37,38
"Gene_2100",65,68,58,44,86,65
"Gene_2101",45,37,35,56,37,38
"Gene_2102",588,679,439,360,366,551
"Gene_2103",1,1,4,1,4,6
"Gene_2104",497,353,369,284,700,383
"Gene_2105",59,58,48,61,50,71
"Gene_2106",20,16,52,10,29,14
"Gene_2107",83,83,135,129,105,97
"Gene_2108",94,74,49,37,91,111
"Gene_2109",670,380,469,450,1005,691
"Gene_2110",116,236,171,230,313,209
"Gene_2111",83,95,78,102,109,99
"Gene_2112",53,46,37,47,91,71
"Gene_2113",10,20,27,23,9,10
"Gene_2114",4,0,2,2,2,2
"Gene_2115",2092,1749,1585,985,2373,2021
"Gene_2116",112,91,127,90,107,111
"Gene_2117",1,3,5,1,4,3
"Gene_2118",57,70,50,74,96,86
"Gene_2119",114,79,239,131,110,111
"Gene_2120",5,2,3,11,5,6
"Gene_2121",0,0,2,0,0,1
"Gene_2122",51,49,57,52,49,62
"Gene_2123",61,111,90,123,145,122
"Gene_2124",232,238,150,254,295,297
"Gene_2125",92,57,61,66,79,110
"Gene_2126",3,3,5,0,7,4
"Gene_2127",101,65,19,34,71,55
"Gene_2128",228,223,270,189,271,272
"Gene_2129",14,13,12,19,17,13
"Gene_2130",32,37,78,76,41,34
"Gene_2131",351,320,242,234,708,533
"Gene_2132",17,15,17,20,54,31
"Gene_2133",9,5,6,7,6,11
"Gene_2134",81,87,66,67,208,74
"Gene_2135",39,40,38,31,60,60
"Gene_2136",20,27,15,37,33,36
"Gene_2137",7,2,8,8,8,7
"Gene_2138",70,52,49,19,55,58
"Gene_2139",167,121,109,147,163,136
"Gene_2140",0,5,3,2,0,0
"Gene_2141",16,17,12,18,19,46
"Gene_2142",286,463,258,284,487,207
"Gene_2143",8,1,5,5,7,5
"Gene_2144",42,33,40,41,46,32
"Gene_2145",520,503,322,410,555,600
"Gene_2146",351,308,188,206,311,316
"Gene_2147",10429,8406,7344,6736,12703,10872
"Gene_2148",14,4,8,5,7,14
"Gene_2149",4,1,2,0,2,3
"Gene_2150",28,44,29,32,38,33
"Gene_2151",25,35,73,36,45,80
"Gene_2152",529,662,576,921,683,1174
"Gene_2153",13,5,15,13,15,16
"Gene_2154",84,60,58,42,85,51
"Gene_2155",79,392,91,205,90,107
"Gene_2156",64,55,96,65,71,118
"Gene_2157",8,32,7,8,7,8
"Gene_2158",8,7,1,1,4,6
"Gene_2159",100,84,331,71,105,86
"Gene_2160",2,4,4,0,2,4
"Gene_2161",288,278,435,321,288,256
"Gene_2162",41,34,33,40,34,23
"Gene_2163",43,57,29,30,39,39
"Gene_2164",41,16,45,38,32,42
"Gene_2165",10,19,23,13,8,15
"Gene_2166",1,4,3,2,3,0
"Gene_2167",0,2,2,0,0,2
"Gene_2168",17,25,17,19,12,25
"Gene_2169",16,25,36,34,16,12
"Gene_2170",0,1,1,0,0,0
"Gene_2171",18,22,27,19,34,21
"Gene_2172",12,57,20,21,25,42
"Gene_2173",127,117,125,117,148,133
"Gene_2174",6,4,16,4,2,20
"Gene_2175",308,291,212,154,251,243
"Gene_2176",0,1,14,0,1,0
"Gene_2177",73,59,55,76,81,47
"Gene_2178",0,0,1,0,0,0
"Gene_2179",53,58,50,72,79,67
"Gene_2180",125,104,144,100,126,109
"Gene_2181",94,58,49,77,117,95
"Gene_2182",38,36,32,55,40,48
"Gene_2183",33,33,29,18,27,14
"Gene_2184",223,171,187,221,258,221
"Gene_2185",110,126,180,179,195,165
"Gene_2186",787,684,564,829,1052,803
"Gene_2187",9,4,11,11,13,7
"Gene_2188",49,43,19,59,44,36
"Gene_2189",212,160,171,179,298,276
"Gene_2190",0,1,10,1,2,4
"Gene_2191",1,3,1,6,4,2
"Gene_2192",361,348,270,214,428,389
"Gene_2193",247,233,165,220,335,297
"Gene_2194",6,4,0,0,5,3
"Gene_2195",36,26,139,12,22,31
"Gene_2196",252,262,445,317,362,390
"Gene_2197",243,170,365,125,310,310
"Gene_2198",118,152,143,134,189,151
"Gene_2199",392,448,350,343,542,437
"Gene_2200",209,210,232,170,340,180
"Gene_2201",99,77,84,92,116,109
"Gene_2202",55,60,65,34,54,57
"Gene_2203",975,894,446,606,930,720
"Gene_2204",8,5,18,4,1,2
"Gene_2205",86,81,75,130,111,136
"Gene_2206",205,180,126,80,237,156
"Gene_2207",68,64,41,73,60,67
"Gene_2208",2,0,1,1,1,0
"Gene_2209",6,8,15,4,15,3
"Gene_2210",69,55,42,25,48,40
"Gene_2211",0,0,1,0,0,2
"Gene_2212",35,41,24,67,50,44
"Gene_2213",0,0,0,1,0,0
"Gene_2214",12,12,8,8,25,15
"Gene_2215",20,28,11,17,14,11
"Gene_2216",0,0,1,0,0,0
"Gene_2217",10,14,15,17,8,9
"Gene_2218",128,141,95,83,127,131
"Gene_2219",11,17,11,17,14,7
"Gene_2220",11,23,41,10,13,24
"Gene_2221",43,25,17,6,29,17
"Gene_2222",3,1,9,5,4,3
"Gene_2223",8,5,9,14,6,6
"Gene_2224",5,1,2,1,6,2
"Gene_2225",8,4,7,2,6,14
"Gene_2226",10,8,7,1,10,10
"Gene_2227",61,39,58,18,43,43
"Gene_2228",21,11,9,8,19,11
"Gene_2229",9,5,9,10,3,3
"Gene_2230",17,24,11,20,16,14
"Gene_2231",898,1039,489,840,825,619
"Gene_2232",5,1,4,1,1,2
"Gene_2233",931,800,760,474,908,786
"Gene_2234",12,7,11,6,10,6
"Gene_2235",37,35,45,20,56,34
"Gene_2236",132,116,65,101,101,109
"Gene_2237",10,9,14,6,9,5
"Gene_2238",24,115,129,64,48,63
"Gene_2239",5,7,7,2,6,5
"Gene_2240",15,7,9,10,12,11
"Gene_2241",0,0,0,0,0,1
"Gene_2242",1,2,3,0,2,0
"Gene_2243",147,138,145,132,163,200
"Gene_2244",38,39,49,26,75,41
"Gene_2245",244,504,551,1056,276,919
"Gene_2246",41,33,66,23,50,46
"Gene_2247",0,0,0,1,0,0
"Gene_2248",72,60,59,89,86,67
"Gene_2249",63,110,71,74,92,68
"Gene_2250",4,8,14,1,12,9
"Gene_2251",1,0,1,0,1,1
"Gene_2252",2,0,1,1,3,4
"Gene_2253",6,2,6,0,1,2
"Gene_2254",10,10,10,10,17,9
"Gene_2255",7,10,8,5,11,8
"Gene_2256",1,0,0,2,3,1
"Gene_2257",1,2,3,0,0,0
"Gene_2258",0,1,0,1,0,0
"Gene_2259",0,0,0,1,2,0
"Gene_2260",83,59,48,52,77,59
"Gene_2261",0,1,1,3,0,1
"Gene_2262",1,0,1,0,0,0
"Gene_2263",1,2,2,2,1,3
"Gene_2264",68,68,44,46,86,83
"Gene_2265",10,4,4,2,4,0
"Gene_2266",991,1356,556,935,1264,1490
"Gene_2267",22,34,93,28,7,5
"Gene_2268",166,155,140,100,179,172
"Gene_2269",31,40,52,17,57,42
"Gene_2270",82,61,62,64,93,57
"Gene_2271",9,9,5,1,7,7
"Gene_2272",6,0,0,0,0,2
"Gene_2273",74,77,60,56,69,79
"Gene_2274",305,252,109,234,349,180
"Gene_2275",105,91,133,129,106,86
"Gene_2276",9,7,8,0,12,13
"Gene_2277",35,24,35,45,40,24
"Gene_2278",166,435,224,234,222,387
"Gene_2279",0,0,0,2,0,0
"Gene_2280",143,146,189,88,157,146
"Gene_2281",2,9,4,17,1,4
"Gene_2282",7,3,7,4,2,4
"Gene_2283",19,14,9,13,11,18
"Gene_2284",9,9,3,5,15,4
"Gene_2285",59,51,25,58,34,37
"Gene_2286",6,8,34,9,5,17
"Gene_2287",1,0,0,0,0,0
"Gene_2288",2,5,2,2,8,4
"Gene_2289",3,4,2,0,7,6
"Gene_2290",0,5,10,2,0,2
"Gene_2291",112,89,82,94,128,101
"Gene_2292",51,100,46,88,137,76
"Gene_2293",95,94,102,95,65,69
"Gene_2294",58,68,56,31,63,79
"Gene_2295",9,12,25,8,16,34
"Gene_2296",21,37,14,27,16,16
"Gene_2297",19,41,24,15,24,17
"Gene_2298",152,115,99,142,215,99
"Gene_2299",24,26,12,9,17,21
"Gene_2300",193,244,125,280,244,267
"Gene_2301",0,1,3,0,0,0
"Gene_2302",23,18,10,52,17,24
"Gene_2303",1,0,0,1,0,0
"Gene_2304",2,0,5,1,1,2
"Gene_2305",1,3,1,2,1,1
"Gene_2306",0,0,1,0,0,0
"Gene_2307",3,0,5,0,0,0
"Gene_2308",1,1,0,3,2,1
"Gene_2309",4,4,4,6,6,2
"Gene_2310",2,0,1,1,1,1
"Gene_2311",9,1,7,2,2,2
"Gene_2312",0,1,2,0,0,2
"Gene_2313",1,2,4,0,2,3
"Gene_2314",7,3,6,1,5,13
"Gene_2315",12,9,12,10,17,11
"Gene_2316",0,0,1,0,0,1
"Gene_2317",19,17,12,14,29,16
"Gene_2318",0,0,1,0,0,0
"Gene_2319",20,55,43,47,40,31
"Gene_2320",0,1,0,0,0,0
"Gene_2321",0,2,1,1,0,1
"Gene_2322",2,1,1,2,1,1
"Gene_2323",12,6,10,4,6,7
"Gene_2324",882,1168,782,1107,1051,661
"Gene_2325",15,26,17,17,16,7
"Gene_2326",5,7,8,7,11,7
"Gene_2327",58,51,18,3,98,47
"Gene_2328",1,1,1,1,3,2
"Gene_2329",7,2,30,6,2,2
"Gene_2330",10,5,1,4,1,8
"Gene_2331",13,7,5,3,16,14
"Gene_2332",4563,4773,3441,4452,5734,4704
"Gene_2333",89,68,56,16,94,56
"Gene_2334",170,114,117,63,219,175
"Gene_2335",0,0,0,0,3,0
"Gene_2336",187,110,41,11,140,129
"Gene_2337",2,3,6,8,6,5
"Gene_2338",60,61,281,35,94,120
"Gene_2339",17,13,20,14,22,27
"Gene_2340",4,10,10,9,14,12
"Gene_2341",0,0,0,0,0,1
"Gene_2342",1,0,0,0,0,0
"Gene_2343",0,2,8,1,9,23
"Gene_2344",0,0,0,0,1,0
"Gene_2345",0,0,0,1,0,0
"Gene_2346",18,27,20,31,30,27
"Gene_2347",2,0,0,0,0,1
"Gene_2348",463,61,478,378,316,1061
"Gene_2349",13,10,26,28,26,66
"Gene_2350",38,37,72,49,57,77
"Gene_2351",837,780,305,288,774,534
"Gene_2352",1,0,0,1,0,0
"Gene_2353",32,38,34,21,49,28
"Gene_2354",32,20,24,27,22,18
"Gene_2355",38,25,48,42,48,61
"Gene_2356",0,0,1,1,1,1
"Gene_2357",36,29,24,32,23,32
"Gene_2358",1,2,0,0,0,2
"Gene_2359",0,0,1,0,0,0
"Gene_2360",34,26,28,15,50,38
"Gene_2361",2,0,3,1,4,4
"Gene_2362",0,0,0,2,1,0
"Gene_2363",0,4,7,19,1,2
"Gene_2364",19,27,36,17,47,33
"Gene_2365",406,488,154,393,429,465
"Gene_2366",0,0,0,0,1,1
"Gene_2367",44,48,56,26,54,56
"Gene_2368",0,0,1,0,0,1
"Gene_2369",1,0,2,1,3,4
"Gene_2370",0,0,0,2,0,0
"Gene_2371",0,0,3,0,0,1
"Gene_2372",97,119,93,113,172,267
"Gene_2373",0,1,0,0,1,2
"Gene_2374",628,493,479,263,859,417
"Gene_2375",26,26,41,31,53,45
"Gene_2376",13,12,6,9,14,27
"Gene_2377",3,6,10,5,11,8
"Gene_2378",26,17,18,10,41,33
"Gene_2379",65,60,65,43,44,97
"Gene_2380",16,8,20,2,9,16
"Gene_2381",7,6,7,2,5,3
"Gene_2382",0,0,2,0,2,1
"Gene_2383",8,13,7,5,10,12
"Gene_2384",95,278,299,180,219,445
"Gene_2385",55,22,121,17,28,26
"Gene_2386",27,31,16,18,6,47
"Gene_2387",8,2,42,1,1,7
"Gene_2388",1,0,0,0,0,1
"Gene_2389",0,2,0,0,0,0
"Gene_2390",4,5,4,2,8,4
"Gene_2391",1,0,0,0,0,0
"Gene_2392",15,17,24,13,15,10
"Gene_2393",0,0,2,0,0,0
"Gene_2394",0,1,2,0,0,2
"Gene_2395",0,0,10,1,0,0
"Gene_2396",0,0,0,1,0,0
"Gene_2397",0,1,3,3,1,0
"Gene_2398",8,5,2,4,7,2
"Gene_2399",79,73,56,46,73,71
"Gene_2400",21,18,12,10,13,15
"Gene_2401",1,0,3,0,1,0
"Gene_2402",22,19,38,11,32,27
"Gene_2403",3,15,22,18,7,8
"Gene_2404",11,15,5,10,13,10
"Gene_2405",0,0,1,2,0,0
"Gene_2406",208,221,131,345,331,266
"Gene_2407",7,3,2,7,2,1
"Gene_2408",6,9,6,7,19,8
"Gene_2409",20,19,18,37,19,10
"Gene_2410",9,5,10,14,2,1
"Gene_2411",29,30,10,9,23,12
"Gene_2412",1,0,1,0,0,0
"Gene_2413",20,20,34,33,29,20
"Gene_2414",3,0,2,3,12,4
"Gene_2415",4,4,2,2,9,1
"Gene_2416",0,0,0,0,0,1
"Gene_2417",218,153,157,144,203,160
"Gene_2418",71,58,96,65,82,67
"Gene_2419",0,1,1,0,2,0
"Gene_2420",1411,1365,707,1253,1691,1500
"Gene_2421",0,5,1,7,8,3
"Gene_2422",1,1,2,1,3,1
"Gene_2423",9,6,18,3,6,7
"Gene_2424",9,11,10,2,23,9
"Gene_2425",5,0,1,2,4,5
"Gene_2426",37,39,49,66,68,57
"Gene_2427",2,1,3,1,1,2
"Gene_2428",31,32,12,36,28,25
"Gene_2429",216,154,61,52,172,174
"Gene_2430",109,59,60,47,75,92
"Gene_2431",0,0,0,0,1,1
"Gene_2432",11,9,4,3,12,6
"Gene_2433",23,18,35,17,28,26
"Gene_2434",66,86,98,134,64,90
"Gene_2435",0,0,1,0,0,1
"Gene_2436",0,1,0,0,0,0
"Gene_2437",7,3,7,6,6,4
"Gene_2438",4,1,7,2,5,0
"Gene_2439",1,0,1,0,1,2
"Gene_2440",10,23,19,9,15,15
"Gene_2441",15,27,19,12,27,19
"Gene_2442",1914,1828,1472,2387,2476,1358
"Gene_2443",4,5,22,6,1,13
"Gene_2444",1,0,0,2,0,0
"Gene_2445",838,625,253,429,741,605
